Name,Brand,SKU,MPN,base_price,MSRP,Image
Tropical Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT13M-,,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1518/31808/TT12-Tropical__98683.1599644583.jpg?c=2
Vent Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT4M-,,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/124/31731/TT4-vent__31998.1599550080.jpg?c=2
Cubist Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT19M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15005/31747/Cubist-Style-Fire-Torch__00285.1599562051.jpg?c=2
Copper Cone Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",CCTTNG,,886.77,933.44,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19082/47011/copper-tiki__26729.1667294299.jpg?c=2
Wall Mount 20K Tempest Torch,"<span itemprop=""name"">Tempest Torches</span>",94800825,,414.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11114/20749/tempest-torch-mounting-wall__94910.1575312422.jpg?c=2
Post Cover Square Black,"<span itemprop=""name"">Tempest Torches</span>",94800827,,202.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11117/47335/RockyMountainStove_3087_2021.07.13__81585__74838.1672753267.jpg?c=2
Deck Post Mounting Plate | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TTDP,,124.00,137.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15019/31822/Top-Torch-Desk-Post-Anchor__27516.1599715080.jpg?c=2
Diamond Plate Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT18M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15003/31741/Diamond-Plate-Style-Fire-Torch__24615.1599558630.jpg?c=2
Globe Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT2M-,,1182.00,1301.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15002/31718/TT2-Globe__09965.1599544860.jpg?c=2
Gothic Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT11M-,,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/291/31796/TT11-Gothic__02343.1599631694.jpg?c=2
24v Transformer,"<span itemprop=""name"">Tempest Torches</span>",94800830,,306.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11104/47386/primary_image_standard__23696__47274.1673578219.jpg?c=2
20K Tempest Torch,"<span itemprop=""name"">Tempest Torches</span>",949007,,1096.00 - 1834.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1649/20766/tempest-torch-main-web__38343.1673478405.jpg?c=2
Fire STIX Outdoor Ethanol Free Standing Fireplace | EcoSmart Fire,"<span itemprop=""name"">EcoSmart Fire</span>",ESF.O.STX,ESF.O.STX,1795.00 - 2645.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/2378/24653/ecosmart-fire-stix-portable-fire-pit-black-web__84960.1588806940.jpg?c=2
Wall Mount 50K Tempest Lantern,"<span itemprop=""name"">Tempest Torches</span>",94800832,94800832,411.00,468.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19160/47379/Wall_Mount_50k_Tempest_Lantern__46028.1673306110.jpg?c=2
Bird of Paradise Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",BOPTTNG,BOPTTNG,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19086/47043/bop-tiki__85471.1667324420.jpg?c=2
In Ground Post,"<span itemprop=""name"">Tempest Torches</span>",94800813,94800813,302.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11116/47336/RockyMountainStove_3094_2021.07.13__46846__68974.1672779301.jpg?c=2
Flower Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT8M-,OPT-TT8M-,1182.00,1301.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/154/31782/gfargfv__76434.1599627184.jpg?c=2
Plumeria Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",PTTNG,PTTNG,1116.43,1175.19,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19088/47061/plumeria-tiki__23548.1667335333.jpg?c=2
Roman Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT7M-,OPT-TT7M-,1182.00,1301.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1190/31765/TT7-Roman__98862.1601118907.jpg?c=2
Tulip Gas Tiki Torch | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",TATTNG,TATTNG,2127.48,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19085/47036/tulip-tiki__41647.1667322086.jpg?c=2
Ellipse Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT1M-,OPT-TT1M-,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15001/31715/TT1-Elipse_1__51360.1599542383.jpg?c=2
